Organization Name,Organization Name URL,Growth Category,Number of Employees,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Full Description,Headquarters Location,Description,CB Rank (Company),Acquired by,Acquired by URL,Acquisition Type,Acquisition Terms,Estimated Revenue Range,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Founders,Number of Founders,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Industries
Perennial,https://www.crunchbase.com/organization/cloud-agronomics,,11-50,Series A,18000000,USD,18000000,"Earth. It’s the soil under our feet. Perennial is the leading measurement, reporting, and verification (MRV) platform for soil-based carbon removal. Harness earth to heal the planet.","Boulder, Colorado, United States","Perennial (formerly Cloud Agronomics) is the leading measurement, reporting, and verification (MRV) platform for soil-based carbon removal.","13,783",,,,,$1M to $10M,2018-01-01,year,Active,,,,,For Profit,https://www.perennial.earth,https://www.linkedin.com/company/perennial-earth,"David Schurman, Jack Roswell, Julian Vallyeason, Oleksiy Zhuk",4,5,24502393,USD,24502393,"Temasek Holdings, Alumni Ventures, SineWave Ventures, Bloomberg, Augment Ventures",4,8,"AgTech, Software"
INTERSTELLAR LAB,https://www.crunchbase.com/organization/interstellar-lab,Growing,11-50,Grant,750000,USD,750000,"Interstellar Lab is a biotech company founded in 2018 that develops, manufactures and operates advanced bio-farming platforms to help its customer produce the cleanest plant-based ingredients. Its bio-farming technology combines automated farms (Biopods), AI and bioscience with a unique data-driven approach. Its considerably accelerates plant growth while optimizing plant molecular composition.  Interstellar Lab provides sustainable plant-based ingredient solutions to large health, beauty and F&B companies. Its bio-farming technology has also convinced NASA and ESA, which contracted with the company to adapt the system for space deployment.  The company counts 45 engineers, scientists and researchers located between its flagship 65,000SF BioPod Facility and Plant Lab in Ivry-sur-Seine (France), its SpaceLab at NASA KSC Florida (USA) and its Business Hub in San Francisco (USA).","Dover, Delaware, United States","Interstellar Lab designs, manufactures and operates biofarming platform to unleash the power of plants. On Earth and in Space.","13,798",,,,,$10M to $50M,2018-09-05,day,Active,,,,,For Profit,https://interstellarlab.com/,https://www.linkedin.com/company/28829451,Barbara Belvisi,1,8,8950000,USD,8950000,"Bpifrance, Kima Ventures, Type One Ventures, 7percent Ventures, Starburst Accelerator",1,21,"Aerospace, AgTech, Biotechnology, Farming, Natural Resources"
Vive Crop Protection,https://www.crunchbase.com/organization/vive-crop-protection,Growing,11-50,Series C,,,,"Vive Crop Protection makes effective and sustainable pesticides for organic and non-organic production. The company creates new ways to use proven crop protection products using their targeted Allosperse Delivery System, which improves the targeting and performance of pesticide active ingredients. This helps farmers do more with less, all while increasing crop quality and yields. Vive Crop Protection was founded in 2006 and is headquartered in Mississauga, Ontario, Canada.","Mississauga, Ontario, Canada",Vive Crop Protection is an agritech company that makes effective and sustainable pesticides for organic and non-organic production.,"13,847",,,,,$1M to $10M,2006-03-30,day,Active,,,,,For Profit,http://www.vivecrop.com,https://www.linkedin.com/company/vive-crop-protection,"Cynthia Goh, Darren Anderson, Gwynn Curran-Sills, Jane Goh, Jordan Dinglasan, Richard Loo",6,15,74391462,USD,74391462,"Export Development Canada, Bioindustrial Innovation Canada, Business Development Bank of Canada, Middleland Capital, Sustainable Development Technology Canada",9,20,"Agriculture, AgTech, Farming, Nanotechnology, Sustainability"
Soli Organic,https://www.crunchbase.com/organization/shenandoah-growers,Growing,1001-5000,Series D,125000000,USD,125000000,"Soli Organic is an indoor farming startup that sells fresh organic culinary herbs. The company provides a 365-day supply of fresh, organic herbs to grocery stores, so millions of consumers can now eat locally all year. Their products are healthy, delicious, and aimed at making the world a lot more flavorful.","Rockingham, North Carolina, United States",Soli Organic is an indoor farming startup that sells fresh organic culinary herbs.,"13,995",,,,,$50M to $100M,1989-01-01,year,Active,,,,,For Profit,https://www.soliorganic.com,https://www.linkedin.com/company/soliorganic,"Mike Sarco, Philip Karp",2,13,487516313,USD,487516313,"Alexandria Venture Investments, S2G Ventures, Horizon Technology Finance, Advantage Capital, Movendo Capital",4,15,"Agriculture, AgTech, Farming, Organic Food, Retail"
iFoodDS,https://www.crunchbase.com/organization/ifooddecisionsciences,Growing,51-100,Series A,22250000,USD,22250000,"iFoodDS offers connected, real-time Traceability, Quality, and Food Safety solutions for suppliers, processors, distributors, grocery retailers and foodservice operators that make it easier to deliver wholesome, fresh, high-quality perishables to your customers. iFoodDS provides the tools you need to consistently meet trading partner expectations, gain real-time visibility across your operations and your supply chain, and bolster your brand. We can make regulatory compliance easy for you and your suppliers.","Seattle, Washington, United States","iFoodDS offers connected Traceability, Quality, and Food Safety solutions for the full food supply chain.","14,331",,,,,Less than $1M,2013-01-01,year,Active,,,,,For Profit,https://www.ifoodds.com,https://www.linkedin.com/company/ifoodds,Diane Wetherington,1,1,22250000,USD,22250000,Insight Partners,1,1,"Agriculture, AgTech, Dairy, Farming, Food Processing, Grocery, Quality Assurance, SaaS, Seafood, Software"
Switch Bioworks,https://www.crunchbase.com/organization/switch-bioworks,Growing,11-50,Seed,17000000,USD,17000000,,"San Carlos, California, United States",Switch Bioworks produces sustainable nitrogen fertilizer by reprogramming naturally occurring symbiotic microbes to produce fertilizers.,"14,423",,,,,$1M to $10M,2022-01-01,year,Active,,,,,For Profit,https://www.switchbioworks.com/,https://www.linkedin.com/company/switch-bioworks/,Tim Schnabel,1,4,25100000,USD,25100000,"Emerson Collective, Astanor Ventures, Grantham Foundation, Anthos Capital, Acre Venture Partners",1,9,"Agriculture, AgTech, Biotechnology, CleanTech"
Cropler,https://www.crunchbase.com/organization/cropler,,1-10,Angel,100000,EUR,112284,"Сropler is an AI farmer’s adviser using real daily field data. We developed a multispectral optical sensor to help farm management platforms, farms and consultants reduce the risk of mistakes and increase yields based on AI.","Warszawa, Mazowieckie, Poland",Digital farmer advisor using AI technology and multispectral camera weather field sensor as a plant information source,"14,435",,,,,,2023-04-01,month,Active,,,,,For Profit,https://www.cropler.io,https://www.linkedin.com/company/cropler/,"Nikita Bedunkevich, Philipp Kondratenko, Yahor Viarbitski",3,2,150000,EUR,167801,"EBRD (Investment Firm), IZDAT",,2,"Agriculture, AgTech, Artificial Intelligence (AI), Hardware, Internet of Things, Software"
DELOS,https://www.crunchbase.com/organization/dewi-laut-aquaculture,,101-250,Series A,5750000,USD,5750000,"DELOS is a science-driven aqua-tech company that designs and operates aquafarms seeking to disrupt the traditional and fragmented aquaculture industry in Indonesia. The Company aims to jumpstart what it calls the “Blue Revolution”. The vision is to help progress Indonesia into an international aquaculture-based seafood production powerhouse within the next decade. The revolution will be a radical shift to drive the growth and modernization of the ~US$ 2.5 billion Indonesian aquaculture industry and further its integration into the global seafood supply chain. DELOS has successfully launched its farming-as-a-service product, AquaHero, a full-stack farm productivity system that combines scientific expertise, technology, and operational excellence to boost farm productivity and profitability. AquaHero utilizes top-class data collection methods and a cutting-edge biological model to predict and mitigate harvest risk, a model that will be trained on hundreds of shrimp ponds within the DELOS ecosystem across Indonesia. DELOS has also launched AquaLink, a harvesting and logistics platform that allows it to capture and provide sustainable and traceable seafood supply downstream in the value chain. The company is currently responsible for producing and distributing thousands of tons of shrimp annually, and has taken steps to integrate its supply into the US$ 300 billion global seafood market. DELOS aims to ensure the traceability and sustainability of its supply chain to streamline global integration. The company has, thereby, embedded sustainable practices into its operations, and will allow stakeholders visibility into its supply chain through its AquaHero and AquaLink platforms.","Jakarta, Jakarta Raya, Indonesia",Delos is a science-driven aqua-tech company that design and operate aqua farms to disrupt the traditional fragmented aquaculture industry.,"14,473",,,,,$1M to $10M,2021-09-01,month,Active,,,,,For Profit,https://delosaqua.com/,https://www.linkedin.com/company/delosaqua,"Alexander Farthing, Aris Noerhadi, Bobby Indra, Guntur Mallarangeng",4,3,13450000,USD,13450000,"Monk’s Hill Ventures, MDI Ventures, Alpha JWC Ventures, PAYFAZZ, Alto Partners",3,11,"AgTech, Aquaculture, Farming, Seafood"
SeeTree,https://www.crunchbase.com/organization/seetree,Growing,51-100,Series C,17500000,USD,17500000,"SeeTree is an ""Intelligence Platform for Trees"" providing per-tree intelligence to growers to track their trees’ health and productivity. Using rich sources of information such as drones, satellites, IoT sensors, weather information and more, we can scan and analyze hundreds of millions of trees!","Tel Aviv, Tel Aviv, Israel",The Intelligence Platform for Tree's,"14,583",,,,,$1M to $10M,2017-08-01,month,Active,,,,,For Profit,https://www.seetree.ai,https://www.linkedin.com/company/seetree,"Barak Hachamov, Guy Morgenstern, Israel Talpaz",3,4,62200000,USD,62200000,"OurCrowd, International Finance Corporation, iAngels, EBRD Venture Capital, Smart Agro",6,15,"Agriculture, AgTech, Artificial Intelligence (AI), Computer Vision, Farming, Forestry, Software"
Barn2Door,https://www.crunchbase.com/organization/barn2door,Growing,1-10,Debt Financing,,,,Barn2Door provides a vertical SaaS solution that allows farmers to manage direct local sales. The company offers an all-in-one business solution enabling farmers to sell their products directly online and in-person.,"Seattle, Washington, United States",Barn2Door provides a vertical SaaS solution that allows farmers to manage direct local sales.,"14,693",,,,,$1M to $10M,2015-03-02,day,Active,,,,,For Profit,http://www.barn2door.com,https://www.linkedin.com/company/barn2door,"Brian Delahunty, Crystal Hoyer, Janelle Maiocco, Shea Martin, Tom Vogl",5,6,16285000,USD,16285000,"Bossanova Investimentos, Quiet Capital, Global Founders Capital, Raine Ventures, Social Starts",3,12,"Agriculture, AgTech, Business Development, Organic Food, Service Industry"
